"Age","Time","Wind (m/s)","Athlete","Date","Place","Age"
5,15.93,-2.1,"Kai Sapp","8 June 2019","Henderson, United States","5 years, 355 days"
6,14.3,1.7,"Willie Washington","24 July 2010","Durham, United States","6 years, 350 days"
7,13.46,-1.7,"Willie Washington","6 August 2011","New Orleans, United States","7 years, 363 days"
8,12.8,0.5,"Willie Washington","29 July 2012","Baltimore, United States","8 years, 356 days"
9,12.45,1.1,"Willie Washington","3 August 2013","Ypsilanti, United States","9 years, 360 days"
10,12.06,-0.4,"Nyckoles Harbor","8 June 2016","Landover, United States","10 years, 339 days"
11,11.86,0.1,"Nyckoles Harbor","25 June 2017","Baltimore, United States","11 years, 355 days"
12,11.22,-0.3,"Shaun Crawford","4 August 2010","Norfolk, United States","12 years, 346 days"
13,10.82,1.2,"Darrel Brown","10 July 1998","Georgetown, Guyana","13 years, 272 days"
14,10.51,-0.7,"Sachin Dennis","31 March 2017","Kingston, Jamaica","14 years, 241 days"
15,10.2,2,"Sachin Dennis","23 March 2018","Kingston, Jamaica","15 years, 233 days"
16,10.15,2,"Anthony Schwartz","31 March 2017","Gainesville, United States","16 years, 207 days"
17,10.01,2,"Yoshihide Kiryu","29 April 2013","Hiroshima, Japan","17 years, 135 days"
18,9.97,1.8,"Trayvon Bromell","13 June 2014","Eugene, United States","18 years, 338 days"
19,9.84,1.3,"Trayvon Bromell","25 June 2015","Eugene, United States","19 years, 350 days"
